ID	GENE_SYMBOL
1329	ATXN1
1331	XLOC_003235
1332	XLOC_000462
1333	PSME3
1334	LPHN3
1335	FAH
1336	XLOC_010987
1337	XLOC_003095
1338	LOC100128095
1339	XLOC_008501
1340	LOC253962
1341	XLOC_005150
1342	TOR3A
1343	CACNA1D
1344	XLOC_009583
1345	LRRFIP1
1346	XLOC_009926
1348	EXOC5
1349	XLOC_l2_014197
1350	UBE2C
1351	MS4A12
1352	HOXD1
1353	LOC100506586
1354	GSK3B
1355	FLVCR1-AS1
1357	LOC100132249
1358	MMAA
1359	OK/SW-CL.58
1360	BUTR1
1361	XLOC_l2_010591
1362	MUC22
1363	DTX2P1-UPK3BP1-PMS2P11
1364	MCM7
1365	FAM95B1
1366	CXXC4
1367	SNAPC4
1369	KDM4C
1370	BPIFB1
1371	FAM136A
1373	PHRF1
1374	WDR25
1375	XLOC_001515
1376	XLOC_008366
1377	PRDM16
1378	LOC729887
1379	LOC284244
1380	SLC22A15
1381	XLOC_000478
1382	ZNF35
1384	XLOC_009249
1385	LOC151657
1386	MKL2
1387	FLJ41350
1388	KDM4C
1389	FGF1
1390	CNOT3
1391	EPN3
1392	XLOC_007727
1393	XLOC_004452
1394	DCAF11
1395	XLOC_l2_013730
1396	ANKS1B
1397	XLOC_008512
1398	LEP
1399	LOC100505540
1400	GPR135
1401	LOC100505545
1402	DDX39B
1403	XLOC_011407
1404	USP48
1405	ACE
1406	NOC3L
1407	DKFZP434L187
1409	LRP1
1410	LOC147646
1411	XLOC_l2_001875
1413	GLT25D1
1414	SRRM4
1415	LINC00467
1416	LOC729178
1417	CALD1
1418	PIK3R2
1419	SNORD12B
1420	NEFH
1421	XLOC_005479
1422	GINS2
1423	KRTAP10-10
1424	KRT7
1425	SLAIN2
1426	SEC11A
1427	ARHGAP15
1428	PDCD2
1429	FAM171A1
1430	XLOC_014338
1431	GALK1
1432	LOC100129399
1433	FLJ37035
1435	XLOC_l2_012054
1436	LOC283028
1438	ZMYM4
1439	SMC3
1440	CEACAM5
1441	POLR2F
1442	MC1R
1443	XLOC_002487
1444	RELL2
1445	PRR4
1446	XLOC_010016
1447	ERCC5
1448	CSNK2B
1449	CHAF1A
1450	C10orf2
1451	CACYBP
1452	PSEN1
1453	MRS2
1454	PTGS2
1455	XLOC_006734
1456	MYH7
1458	LOC100287803
1459	SETD5
1460	LDLRAD2
1461	PLGLB1
1462	ZADH2
1463	SLC6A5
1464	XLOC_002221
1465	PCDHA1
1468	XLOC_002066
1469	CD19
1470	TMEM167B
1472	CYTH3
1473	CD300LD
1474	ZNF277
1477	FOXK2
1478	FAM87B
1479	LOC390937
1480	AMMECR1L
1485	CNTNAP3B
1486	ATG16L1
1487	LIN7B
1489	MKRN1
1490	PRKACB
1491	C11orf63
1492	RAD54B
1493	XLOC_003853
1494	LOC285629
1495	PGC
1496	TOP2B
1497	LOC100506571
1498	XLOC_013602
1499	XLOC_011306
1500	EIF2AK2
1501	NANOS3
1503	MRPL22
1504	MDM1
1505	WRN
1506	FNDC5
1507	XLOC_000699
1508	NOVA2
1509	HNRNPA1L2
1510	LOC100130476
1512	TP73
1513	C2orf78
1514	PRB1
1515	CTAGE1
1516	NFIX
1517	EXOSC5
1518	DDR2
1519	TRAPPC6A
1520	SENP6
1521	ARPP19
